blueWardsPlaced,blueWardsDestroyed,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWardsPlaced,redWardsDestroyed,redKills,redDeaths,redAssists,redDragons,redHeralds,redTowersDestroyed,redTotalMinionsKilled,redTotalJungleMinionsKilled,Wins,WardsPlaced,WardsDestroyed,Kills,Deaths,Assists,Dragons,Heralds,TowersDestroyed,blueTotalMinionsKilled,blueTotalJungleMinionsKilled
16,2,9,8,7,0,1,0,202,62,13,5,8,9,11,1,0,1,199,45,lose,1,0,1,0,0,0,1,0,1,1
36,0,5,4,6,0,0,0,200,32,12,1,4,5,3,1,0,0,186,63,win,1,0,1,0,1,0,1,1,1,0
18,2,8,2,11,0,0,0,232,44,13,3,2,8,2,1,0,0,208,51,lose,1,0,1,0,1,0,1,1,1,0
13,3,2,7,1,1,0,0,204,38,12,0,7,2,7,0,0,0,192,36,lose,1,1,0,1,0,1,1,1,1,1
15,3,6,4,4,1,0,0,242,52,15,2,4,6,3,0,1,0,205,50,win,1,1,1,0,1,1,0,1,1,1
50,4,6,4,8,1,1,0,200,52,48,2,4,6,8,0,0,0,169,52,win,1,1,1,0,1,1,1,1,1,1
14,2,4,6,1,0,0,0,221,52,15,2,6,4,5,1,1,0,226,66,lose,0,1,0,1,0,0,0,1,0,0
17,2,8,4,7,0,1,0,212,40,13,4,4,8,5,0,0,0,180,61,win,1,0,1,0,1,1,1,1,1,0
18,1,13,9,18,1,0,0,232,44,12,4,9,13,5,0,0,0,216,63,win,1,0,1,0,1,1,1,1,1,0
17,5,7,6,12,0,0,0,242,46,52,4,6,7,9,1,1,0,198,60,lose,0,1,1,0,1,0,0,1,1,0
43,6,11,4,12,0,1,0,256,43,16,0,4,11,6,1,0,0,210,72,lose,1,1,1,0,1,0,1,1,1,0
12,1,6,6,10,1,0,0,204,56,13,1,6,6,3,0,1,0,241,56,lose,0,1,1,1,1,1,0,1,0,1
20,2,7,8,6,0,1,0,199,51,42,7,8,7,6,1,0,0,178,47,lose,0,0,0,1,1,0,1,1,1,1
18,3,9,8,7,1,0,0,235,41,16,0,8,9,8,0,0,0,207,44,win,1,1,1,0,0,1,1,1,1,0
16,0,10,10,14,1,0,0,208,55,15,1,10,10,16,0,0,0,210,44,win,1,0,1,1,0,1,1,1,0,1
14,2,7,2,12,1,1,0,261,68,25,0,2,7,3,0,0,0,220,56,win,0,1,1,0,1,1,1,1,1,1
12,6,1,6,0,0,0,0,241,56,53,1,6,1,3,1,0,0,218,47,lose,0,1,0,1,0,0,1,1,1,1
16,4,5,8,7,1,0,0,201,48,19,2,8,5,6,0,0,0,248,40,win,0,1,0,1,1,1,1,1,0,1
15,0,10,4,12,0,0,0,232,64,12,1,4,10,4,0,0,0,247,41,win,1,0,1,0,1,1,1,1,0,1
13,3,3,10,2,1,0,0,210,53,20,3,10,3,13,0,1,0,200,67,lose,0,1,0,1,0,1,0,1,1,0
83,13,7,11,3,0,0,0,194,25,35,2,11,7,7,1,0,0,216,59,lose,1,1,0,1,0,0,1,1,0,0
17,4,3,5,2,0,0,0,236,73,33,4,5,3,6,1,1,0,233,46,lose,0,1,0,1,0,0,0,1,1,1
16,3,9,2,5,0,0,0,223,51,14,2,2,9,2,1,0,0,213,41,win,1,1,1,0,1,0,1,1,1,1
14,4,7,7,6,0,0,1,257,62,19,3,7,7,10,1,0,0,145,36,win,0,1,1,1,0,0,1,1,1,1
14,2,7,7,10,1,0,0,209,48,16,4,7,7,7,0,0,0,255,60,lose,0,0,1,1,1,1,1,1,0,0
17,1,5,10,6,0,0,0,213,59,16,2,10,5,15,1,0,0,214,44,lose,1,0,0,1,0,0,1,1,0,1
16,6,5,4,9,0,0,0,247,37,17,2,4,5,5,1,0,0,203,51,win,0,1,1,0,1,0,1,1,1,0
40,1,6,8,10,0,1,0,250,70,12,1,8,6,11,1,0,0,186,48,win,1,1,0,1,0,0,1,1,1,1
16,0,11,6,11,1,1,0,242,52,14,2,6,11,9,0,0,0,203,52,win,1,0,1,0,1,1,1,1,1,1
16,1,5,8,4,0,1,0,227,28,11,3,8,5,11,0,0,0,186,39,lose,1,0,0,1,0,1,1,1,1,0
16,4,6,8,2,1,0,0,224,53,20,2,8,6,9,0,0,0,210,36,lose,0,1,0,1,0,1,1,1,1,1
14,3,4,6,4,0,0,0,209,43,17,3,6,4,7,1,0,0,231,44,lose,0,1,0,1,0,0,1,1,0,0
13,5,6,7,2,0,0,0,199,52,17,4,7,6,5,1,1,0,212,40,lose,0,1,0,1,0,0,0,1,0,1
18,4,8,3,7,0,1,0,252,44,15,4,3,8,2,1,0,0,225,47,lose,1,1,1,0,1,0,1,1,1,0
24,0,8,11,9,0,0,0,222,44,13,3,11,8,13,1,1,0,215,55,lose,1,0,0,1,0,0,0,1,1,0
12,5,6,4,8,1,0,0,248,44,16,5,4,6,4,0,1,0,207,52,lose,0,1,1,0,1,1,0,1,1,0
17,3,6,14,4,0,0,0,200,46,16,3,14,6,9,1,0,0,227,66,win,1,1,0,1,0,0,1,1,0,0
19,3,3,5,1,0,0,0,233,59,16,4,5,3,7,1,0,0,216,48,lose,1,0,0,1,0,0,1,1,1,1
12,3,9,5,9,0,0,0,221,36,14,2,5,9,3,1,1,0,208,44,win,0,1,1,0,1,0,0,1,1,0
14,3,6,4,6,1,0,0,211,60,14,0,4,6,2,0,0,0,204,71,win,1,1,1,0,1,1,1,1,1,0
19,2,2,7,2,1,0,0,231,64,17,5,7,2,14,0,1,0,211,64,win,1,0,0,1,0,1,0,1,1,1
16,2,5,10,3,1,1,0,232,44,15,2,10,5,6,0,0,0,236,76,lose,1,1,0,1,0,1,1,1,0,0
18,1,12,9,10,0,0,0,143,48,12,3,9,12,9,0,0,0,181,40,win,1,0,1,0,1,1,1,1,0,1
17,1,9,17,17,0,0,0,187,29,31,1,17,9,21,0,0,0,211,40,lose,0,1,0,1,0,1,1,1,0,0
32,2,12,6,12,1,0,0,202,47,16,2,6,12,7,0,0,0,210,39,win,1,1,1,0,1,1,1,1,0,1
16,2,7,9,5,1,1,0,228,48,34,2,9,7,7,0,0,0,230,52,lose,0,1,0,1,0,1,1,1,0,0
19,5,7,10,7,0,0,0,227,44,17,7,10,7,11,0,0,0,231,45,win,1,0,0,1,0,1,1,1,0,0
14,1,6,4,12,1,0,0,224,39,102,1,4,6,4,0,0,0,217,48,win,0,1,1,0,1,1,1,1,1,0
12,2,2,6,1,0,0,0,196,60,14,2,6,2,4,1,0,0,266,60,lose,0,1,0,1,0,0,1,1,0,1
30,6,5,5,7,0,1,0,217,67,16,4,5,5,6,1,0,0,233,54,lose,1,1,1,1,1,0,1,1,0,1
18,5,8,8,8,1,0,0,229,43,18,3,8,8,6,0,1,0,198,66,lose,1,1,1,1,1,1,0,1,1,0
14,16,3,9,2,0,0,0,213,40,42,2,9,3,8,1,0,0,255,51,lose,0,1,0,1,0,0,1,1,0,0
14,2,9,8,10,1,0,0,192,43,19,2,8,9,8,0,1,0,209,60,win,0,1,1,0,1,1,0,1,0,0
13,6,10,7,10,0,0,0,207,44,14,3,7,10,5,1,0,0,231,56,win,0,1,1,0,1,0,1,1,0,0
16,4,3,10,2,0,0,0,193,40,17,8,10,3,11,1,0,0,245,51,lose,0,0,0,1,0,0,1,1,0,0
38,3,9,7,11,1,0,0,205,40,14,1,7,9,9,0,0,0,215,48,win,1,1,1,0,1,1,1,1,0,0
40,1,7,14,6,1,0,0,183,37,13,4,14,7,12,0,0,0,219,49,win,1,0,0,1,0,1,1,1,0,0
18,5,5,3,6,1,0,0,240,61,39,3,3,5,5,0,0,0,230,42,win,0,1,1,0,1,1,1,1,1,1
40,3,6,7,6,0,0,0,212,52,17,4,7,6,7,0,1,0,211,46,lose,1,0,0,1,0,1,0,1,1,1
18,5,7,5,6,0,0,0,215,52,35,3,5,7,5,0,0,0,197,48,win,0,1,1,0,1,1,1,1,1,1
17,5,7,1,8,0,0,0,226,36,35,3,1,7,0,1,0,0,217,80,win,0,1,1,0,1,0,1,1,1,0
15,5,6,3,11,1,0,0,241,36,38,2,3,6,3,0,0,0,229,58,win,0,1,1,0,1,1,1,1,1,0
18,2,4,4,4,0,0,0,215,48,15,1,4,4,1,1,0,0,227,72,win,1,1,1,1,1,0,1,1,0,0
43,6,4,7,4,1,0,0,226,33,23,9,7,4,12,0,0,0,205,52,win,1,0,0,1,0,1,1,1,1,0
13,5,5,7,4,0,0,0,191,48,62,3,7,5,10,1,0,0,216,51,lose,0,1,0,1,0,0,1,1,0,0
13,1,6,9,2,1,0,0,228,55,17,1,9,6,13,0,0,0,143,60,win,0,1,0,1,0,1,1,1,1,0
20,1,9,7,15,1,0,0,199,37,12,3,7,9,8,0,1,0,225,44,win,1,0,1,0,1,1,0,1,0,0
15,1,12,4,9,0,1,0,227,37,15,2,4,12,1,1,0,0,191,52,win,1,0,1,0,1,0,1,1,1,0
17,1,5,5,6,0,0,0,223,64,38,2,5,5,7,1,0,0,226,49,win,0,0,1,1,0,0,1,1,0,1
28,4,3,4,3,1,0,0,211,55,16,2,4,3,5,0,1,0,208,44,lose,1,1,0,1,0,1,0,1,1,1
12,3,4,9,5,0,0,0,192,32,18,3,9,4,15,0,0,0,194,46,lose,0,1,0,1,0,1,1,1,0,0
87,1,4,15,4,0,0,0,183,30,10,1,15,4,14,0,0,0,201,51,lose,1,1,0,1,0,1,1,1,0,0
15,3,7,6,7,0,0,0,251,64,17,1,6,7,4,1,1,0,190,56,win,0,1,1,0,1,0,0,1,1,1
15,4,5,7,2,0,0,0,172,40,13,5,7,5,3,0,0,0,219,51,lose,1,0,0,1,0,1,1,1,0,0
23,3,10,5,16,0,0,0,192,40,37,2,5,10,6,1,1,0,199,40,win,0,1,1,0,1,0,0,1,0,1
18,1,12,4,15,0,0,0,206,60,14,2,4,12,3,0,0,0,216,56,win,1,0,1,0,1,1,1,1,0,1
16,3,4,11,5,0,1,1,232,40,37,1,11,4,15,1,0,0,216,36,win,0,1,0,1,0,0,1,1,1,1
16,2,3,8,4,1,1,0,191,60,17,4,8,3,9,0,0,0,241,52,lose,0,0,0,1,0,1,1,1,0,1
17,3,13,9,22,0,0,0,207,31,17,4,9,13,11,0,0,0,200,44,win,1,0,1,0,1,1,1,1,1,0
15,5,4,3,4,0,0,0,232,53,16,2,3,4,3,0,0,0,209,51,lose,0,1,1,0,1,1,1,1,1,1
15,2,3,1,3,1,0,0,224,56,40,4,1,3,1,0,1,0,220,56,lose,0,0,1,0,1,1,0,1,1,1
21,2,8,8,3,0,0,0,203,48,17,4,8,8,6,0,0,0,168,48,lose,1,0,1,1,0,1,1,1,1,1
70,2,8,6,12,1,1,0,178,56,13,1,6,8,6,0,0,0,232,39,lose,1,1,1,0,1,1,1,1,0,1
18,1,6,7,10,0,1,0,230,47,38,5,7,6,11,1,0,0,222,53,lose,0,0,0,1,0,0,1,1,1,0
10,1,6,14,3,0,0,0,198,59,13,1,14,6,16,1,1,0,201,37,lose,0,1,0,1,0,0,0,1,0,1
15,4,7,11,9,0,0,0,230,56,16,4,11,7,11,1,0,0,178,51,lose,0,1,0,1,0,0,1,1,1,1
15,9,13,5,10,1,1,0,222,71,39,1,5,13,6,0,0,0,208,40,win,0,1,1,0,1,1,1,1,1,1
91,3,10,5,13,0,0,1,213,50,17,1,5,10,6,0,0,0,210,47,win,1,1,1,0,1,1,1,1,1,1
18,2,3,10,4,0,0,0,200,48,16,0,10,3,10,1,1,0,246,63,lose,1,1,0,1,0,0,0,1,0,0
16,4,6,6,5,0,0,0,205,56,19,3,6,6,5,1,0,0,224,48,win,0,1,1,1,1,0,1,1,0,1
18,11,7,6,8,0,0,1,207,46,41,1,6,7,6,0,0,0,178,22,win,0,1,1,0,1,1,1,1,1,1
16,2,9,5,9,1,0,0,225,60,12,1,5,9,3,0,1,0,229,32,win,1,1,1,0,1,1,0,1,0,1
13,1,8,3,9,1,1,0,235,59,13,3,3,8,2,0,0,0,234,54,win,1,0,1,0,1,1,1,1,1,1
13,2,5,6,4,1,0,0,198,44,25,2,6,5,7,0,0,0,199,40,win,0,1,0,1,0,1,1,1,0,1
54,3,4,2,6,1,0,0,229,53,15,3,2,4,1,0,1,0,218,54,lose,1,1,1,0,1,1,0,1,1,0
17,2,6,6,10,0,0,0,221,44,14,4,6,6,9,1,0,0,203,52,win,1,0,1,1,1,0,1,1,1,0
35,1,5,9,5,0,0,0,196,40,16,4,9,5,7,1,0,0,237,32,lose,1,0,0,1,0,0,1,1,0,1
10,1,7,7,5,0,0,0,215,42,33,0,7,7,8,1,0,0,217,40,lose,0,1,1,1,0,0,1,1,0,1
19,5,6,7,7,0,0,0,225,46,15,3,7,6,10,1,0,0,212,50,lose,1,1,0,1,0,0,1,1,1,0
22,6,7,3,6,1,0,0,253,64,60,6,3,7,3,0,1,0,179,45,win,0,1,1,0,1,1,0,1,1,1
19,2,4,6,1,0,0,0,188,53,19,3,6,4,5,1,1,0,196,56,lose,1,0,0,1,0,0,0,1,0,0
14,5,5,4,7,0,1,0,188,63,20,3,4,5,7,0,0,0,190,48,win,0,1,1,0,1,1,1,1,0,1
15,2,5,5,5,0,0,0,213,47,21,3,5,5,7,1,1,0,249,47,lose,0,0,1,1,0,0,0,1,0,1
38,2,5,5,6,1,0,0,229,39,37,4,5,5,6,0,1,0,216,55,win,1,0,1,1,1,1,0,1,1,0
16,3,6,11,8,1,0,0,200,43,14,4,11,6,12,0,0,0,214,60,lose,1,0,0,1,0,1,1,1,0,0
17,4,6,6,6,0,0,0,240,56,56,2,6,6,7,1,0,0,199,68,win,0,1,1,1,0,0,1,1,1,0
18,2,9,5,9,0,0,0,230,51,45,3,5,9,5,0,0,0,206,52,win,0,0,1,0,1,1,1,1,1,0
19,6,2,8,4,0,0,0,222,33,18,7,8,2,11,0,1,1,242,40,lose,1,0,0,1,0,1,0,0,0,0
14,3,5,4,3,1,0,0,238,64,16,1,4,5,5,0,0,0,210,64,win,0,1,1,0,0,1,1,1,1,1
17,0,4,8,6,0,1,0,222,68,15,2,8,4,13,1,0,0,230,47,win,1,0,0,1,0,0,1,1,0,1
12,4,5,6,5,0,1,0,211,71,15,2,6,5,8,1,0,0,222,69,lose,0,1,0,1,0,0,1,1,0,1
86,4,3,5,3,0,0,0,186,62,36,6,5,3,6,1,0,0,218,54,lose,1,0,0,1,0,0,1,1,0,1
16,1,8,2,5,1,0,0,229,40,14,3,2,8,2,0,0,0,208,44,win,1,0,1,0,1,1,1,1,1,0
15,6,10,2,11,0,0,0,218,70,83,3,2,10,1,1,0,0,219,56,win,0,1,1,0,1,0,1,1,0,1
22,7,6,7,7,0,0,0,180,45,46,6,7,6,9,0,0,0,243,46,lose,0,1,0,1,0,1,1,1,0,0
16,4,1,5,2,0,0,0,187,48,20,4,5,1,4,1,0,0,236,67,lose,0,1,0,1,0,0,1,1,0,0
17,7,6,6,9,0,0,0,269,40,19,5,6,6,3,1,0,0,245,56,lose,0,1,1,1,1,0,1,1,1,0
16,3,9,7,13,1,1,0,178,60,14,1,7,9,4,0,0,0,215,56,win,1,1,1,0,1,1,1,1,0,1
15,3,4,3,2,0,1,0,263,53,15,2,3,4,1,1,0,0,208,35,lose,1,1,1,0,1,0,1,1,1,1
14,1,4,12,5,0,0,0,198,46,13,1,12,4,20,1,0,1,177,53,lose,1,1,0,1,0,0,1,0,1,0
25,1,6,6,11,1,0,0,240,43,17,2,6,6,7,0,0,0,233,51,lose,1,0,1,1,1,1,1,1,1,0
11,1,1,5,1,0,0,0,223,34,14,2,5,1,7,1,1,0,259,70,lose,0,0,0,1,0,0,0,1,0,0
25,5,14,3,15,0,0,0,212,54,13,4,3,14,4,0,0,0,196,45,win,1,1,1,0,1,1,1,1,1,1
15,0,0,5,0,0,0,0,233,60,56,2,5,0,8,1,0,0,229,60,lose,0,0,0,1,0,0,1,1,1,1
17,4,6,11,4,1,0,0,191,39,19,6,11,6,14,0,0,0,206,28,lose,0,0,0,1,0,1,1,1,0,1
17,4,6,6,5,0,1,0,210,54,14,2,6,6,3,1,0,0,194,51,win,1,1,1,1,1,0,1,1,1,1
14,4,4,7,6,0,0,0,268,52,13,4,7,4,8,1,0,0,244,84,lose,1,1,0,1,0,0,1,1,1,0
18,1,10,5,8,1,0,0,242,48,13,0,5,10,7,0,0,0,214,60,win,1,1,1,0,1,1,1,1,1,0
17,5,6,8,5,0,0,0,222,36,40,6,8,6,12,1,0,0,216,46,lose,0,0,0,1,0,0,1,1,1,0
42,4,8,5,10,1,0,0,229,59,14,1,5,8,5,0,0,0,222,60,win,1,1,1,0,1,1,1,1,1,0
17,7,11,8,15,0,0,0,174,38,17,5,8,11,9,1,1,0,212,44,lose,1,1,1,0,1,0,0,1,0,0
15,2,4,4,4,0,1,0,252,57,29,2,4,4,1,0,0,0,214,56,win,0,1,1,1,1,1,1,1,1,1
12,3,1,5,3,1,0,0,231,65,17,3,5,1,4,0,0,0,235,61,lose,0,1,0,1,0,1,1,1,0,1
14,2,8,7,3,0,0,0,234,49,15,2,7,8,4,0,0,0,182,52,lose,0,1,1,0,0,1,1,1,1,0
13,2,5,14,6,1,0,0,167,48,15,1,14,5,9,0,0,0,238,44,lose,0,1,0,1,0,1,1,1,0,1
13,3,4,6,6,0,0,0,221,43,15,4,6,4,10,1,0,0,262,64,lose,0,0,0,1,0,0,1,1,0,0
68,0,1,14,1,1,0,0,174,53,15,4,14,1,18,0,0,1,234,29,lose,1,0,0,1,0,1,1,0,0,1
20,1,4,9,3,0,0,0,212,56,12,6,9,4,11,0,0,0,224,54,win,1,0,0,1,0,1,1,1,0,1
16,3,5,5,7,1,0,0,201,52,18,1,5,5,3,0,0,0,213,64,win,0,1,1,1,1,1,1,1,0,0
12,2,4,2,2,0,1,0,245,61,15,0,2,4,1,0,0,0,212,58,lose,0,1,1,0,1,1,1,1,1,1
13,5,5,5,8,0,1,0,220,40,15,2,5,5,8,1,0,0,185,54,lose,0,1,1,1,1,0,1,1,1,0
16,3,12,9,15,0,0,0,186,48,17,4,9,12,11,1,0,0,204,48,win,0,0,1,0,1,0,1,1,0,1
35,3,6,2,9,1,0,0,221,44,15,1,2,6,1,0,0,0,201,40,win,1,1,1,0,1,1,1,1,1,1
14,2,3,8,3,0,0,0,227,61,84,4,8,3,5,1,0,0,214,44,lose,0,0,0,1,0,0,1,1,1,1
35,2,5,5,3,0,0,0,244,60,17,4,5,5,5,1,0,0,217,52,win,1,0,1,1,0,0,1,1,1,1
