WardsPlaced,WardsDestroyed,Dragons,Heralds,TowersDestroyed,TotalMinionsKilled,TotalJungleMinionsKilled,Win
17,0,0,1,0,222,68,1
12,4,0,1,0,211,71,0
86,4,0,0,0,186,62,0
16,1,1,0,0,229,40,1
15,6,0,0,0,218,70,1
22,7,0,0,0,180,45,0
16,4,0,0,0,187,48,0
17,7,0,0,0,269,40,0
16,3,1,1,0,178,60,1
15,3,0,1,0,263,53,0
14,1,0,0,0,198,46,0
25,1,1,0,0,240,43,0
11,1,0,0,0,223,34,0
25,5,0,0,0,212,54,1
15,0,0,0,0,233,60,0
17,4,1,0,0,191,39,0
17,4,0,1,0,210,54,1
14,4,0,0,0,268,52,0
18,1,1,0,0,242,48,1
17,5,0,0,0,222,36,0
42,4,1,0,0,229,59,1
17,7,0,0,0,174,38,0
15,2,0,1,0,252,57,1
12,3,1,0,0,231,65,0
14,2,0,0,0,234,49,0
13,2,1,0,0,167,48,0
13,3,0,0,0,221,43,0
68,0,1,0,0,174,53,0
20,1,0,0,0,212,56,1
16,3,1,0,0,201,52,1
12,2,0,1,0,245,61,0
13,5,0,1,0,220,40,0
16,3,0,0,0,186,48,1
35,3,1,0,0,221,44,1
14,2,0,0,0,227,61,0
35,2,0,0,0,244,60,1
18,3,1,0,0,230,48,1
22,4,0,1,0,198,59,0
124,3,0,1,0,225,51,0
18,1,0,0,0,231,50,1
22,5,0,0,0,228,55,1
13,3,1,1,1,233,44,1
34,3,0,0,0,220,37,0
24,1,0,0,0,242,48,1
50,12,1,0,0,213,48,0
16,3,1,0,0,213,52,0
13,2,0,1,0,252,51,0
33,1,0,0,0,230,56,0
13,3,0,0,0,255,50,1
17,3,1,0,0,240,43,1
78,4,0,0,0,230,52,1
16,2,1,0,0,221,58,0
22,2,0,0,0,212,40,0
15,5,0,1,0,241,48,0
19,2,0,0,0,202,41,0
40,4,0,0,0,200,48,0
13,1,0,0,0,227,47,0
15,2,1,0,0,204,49,1
31,2,0,0,0,235,59,1
44,2,1,0,0,217,64,0
27,2,1,0,0,184,36,0
16,0,0,0,0,173,47,0
54,4,1,1,0,224,51,1
13,3,1,1,0,223,70,1
17,3,0,0,0,218,44,0
14,2,1,0,0,233,76,1
12,2,1,0,0,246,44,1
14,1,0,0,0,209,44,0
24,3,0,0,0,249,67,1
14,1,1,0,0,228,47,1
36,2,1,0,0,197,56,0
40,7,0,1,0,214,45,1
19,2,0,0,0,209,51,0
17,3,1,0,0,234,56,1
27,5,0,1,0,222,52,1
17,4,0,0,0,230,43,1
18,5,1,0,0,220,56,1
13,0,0,0,0,220,54,1
15,2,0,0,0,194,42,1
22,2,1,0,0,265,59,1
19,2,0,0,0,210,55,0
12,0,0,1,0,270,52,0
16,1,1,0,0,238,43,1
57,3,0,0,0,225,56,1
10,0,0,0,0,196,68,0
18,4,1,1,0,236,57,1
18,5,0,0,0,217,37,1
22,3,1,0,0,190,51,0
18,1,0,1,1,227,46,0
15,2,0,0,0,217,41,0
16,3,0,1,0,173,49,0
11,3,1,0,0,223,63,1
18,3,0,0,0,241,38,0
18,3,0,0,0,201,48,1
39,1,0,0,0,194,32,0
39,3,1,0,0,238,44,1
17,4,0,0,0,229,63,1
18,4,0,0,0,222,40,0
21,2,1,1,0,268,55,1
14,4,0,0,0,196,36,0
40,4,0,0,0,222,28,0
37,6,0,0,0,218,48,1
13,2,1,0,0,224,52,0
16,1,1,0,0,223,40,1
15,4,0,0,0,209,42,0
18,2,1,0,0,245,45,1
37,0,1,0,0,235,60,1
16,2,0,1,0,219,52,0
35,4,1,1,0,200,55,1
16,3,0,1,0,224,50,0
15,2,1,0,0,212,50,0
14,6,0,0,0,169,56,0
16,1,0,0,0,214,35,0
15,2,0,0,0,213,49,0
13,3,1,1,0,217,52,1
18,10,1,0,0,250,43,0
16,3,0,0,0,227,54,0
19,2,1,0,0,240,52,0
17,4,0,0,0,209,49,0
20,4,0,1,0,234,65,0
16,4,0,0,0,226,60,0
34,2,1,0,0,219,53,0
16,3,0,0,0,215,34,0
15,1,1,0,0,223,56,1
10,1,0,0,0,191,52,0
19,3,0,0,0,209,44,1
18,4,1,0,0,207,36,1
29,2,0,0,0,245,49,0
14,3,1,0,0,211,60,0
15,2,1,1,0,239,64,1
12,2,0,1,0,203,59,0
15,5,1,0,0,244,47,0
18,1,0,0,0,228,52,1
15,2,1,0,0,241,44,1
14,2,0,0,0,236,46,1
14,3,0,0,0,214,40,0
15,2,1,0,0,214,55,0
14,2,0,0,0,238,40,1
16,4,1,0,0,182,56,0
15,2,1,0,0,242,59,1
15,2,0,0,0,224,56,1
17,2,0,1,0,180,37,1
23,2,0,0,0,229,39,0
15,5,1,0,0,234,60,1
56,2,1,1,0,190,44,1
16,3,1,0,0,201,48,1
13,4,0,0,0,201,68,1
17,6,1,0,0,246,31,1
14,6,1,1,0,221,52,1
21,5,1,0,0,246,36,1
22,3,0,0,1,193,36,0
15,4,1,1,0,274,50,1
22,6,0,1,0,269,51,0
38,2,0,0,0,176,48,0
15,4,0,0,0,212,47,0
46,0,1,0,0,211,55,1
17,3,0,0,0,222,55,0
12,5,1,0,0,234,44,0
10,2,0,0,0,234,48,1
12,2,0,1,1,194,50,1
17,2,1,0,0,199,56,0
18,3,1,1,0,253,52,1
19,3,0,0,0,226,54,0
17,0,1,1,0,190,64,1
14,2,0,0,0,252,46,0
13,3,0,1,0,205,52,0
30,13,0,0,0,182,61,0
18,6,1,0,0,218,71,1
53,4,0,0,0,189,44,1
17,2,0,0,0,198,45,1
14,2,0,0,0,162,48,0
85,3,0,0,0,226,47,0
14,2,0,1,0,222,51,0
18,4,1,1,0,211,60,1
22,2,0,0,0,232,54,1
16,3,0,0,0,195,48,0
16,3,0,0,0,238,63,0
38,0,0,0,0,238,45,1
17,5,0,0,0,194,48,0
16,4,0,0,0,243,64,1
18,2,0,0,0,217,51,0
13,2,0,0,0,229,32,0
17,4,0,0,0,218,56,1
18,1,0,0,0,234,60,0
15,0,0,0,0,227,56,0
34,3,0,0,0,221,66,0
18,4,0,0,0,227,57,1
18,3,1,1,0,228,56,1
20,0,0,1,0,193,54,0
19,8,0,0,0,239,44,1
14,1,0,0,0,234,42,0
17,2,1,0,0,195,72,1
15,1,0,0,0,220,68,0
17,3,0,0,0,167,46,0
18,1,1,0,0,238,58,1
19,4,0,1,0,232,53,1
18,3,0,0,0,142,40,0
17,8,1,0,0,202,34,0
21,5,0,0,0,200,48,0
17,3,1,0,0,239,59,0
14,4,1,1,0,231,56,1
19,2,1,0,0,221,52,1
19,2,1,0,0,173,36,1
16,2,0,1,0,228,61,0
10,1,0,1,2,246,47,1
18,5,1,0,0,220,52,1
20,2,0,0,0,212,63,0
14,6,0,0,0,228,39,1
15,2,1,0,0,217,48,1
27,1,0,0,0,218,72,1
76,2,0,1,0,230,60,1
19,4,1,0,0,251,37,1
13,2,1,1,0,210,45,0
78,2,1,0,0,220,47,1
14,2,0,0,0,152,36,1
11,5,0,0,0,231,40,0
16,0,0,0,0,223,48,1
14,7,0,0,0,217,52,0
15,11,1,0,0,228,48,1
15,5,0,0,0,192,52,1
16,2,0,1,0,226,33,1
17,3,0,0,0,219,38,1
19,4,1,0,0,219,60,1
15,3,1,0,0,263,51,1
15,2,0,0,0,191,38,0
48,4,1,0,0,210,51,1
14,1,1,0,0,196,60,0
39,1,0,0,0,174,48,0
38,5,0,1,0,214,56,1
14,3,1,0,0,217,70,1
12,0,0,0,0,215,48,1
41,4,0,0,0,203,47,0
12,15,0,1,0,232,51,0
16,4,0,0,0,221,64,0
20,3,1,0,0,234,52,1
16,5,1,0,0,227,45,1
15,13,1,0,0,204,52,0
38,0,1,1,0,221,56,1
17,3,1,0,0,206,39,0
16,3,1,0,0,208,56,1
32,2,0,0,0,149,39,0
41,4,1,1,0,228,64,1
34,2,0,0,0,230,50,1
25,3,0,1,1,225,67,1
18,2,0,0,0,223,38,1
20,0,0,0,0,182,54,0
16,3,1,0,0,231,38,0
17,3,0,1,0,203,60,1
20,7,0,0,0,239,48,1
34,2,0,1,0,234,62,0
16,2,1,0,0,238,47,1
11,3,1,0,0,216,58,1
15,3,0,0,0,207,56,0
13,5,0,0,0,201,42,0
15,2,0,0,0,209,56,0
19,0,1,0,0,234,48,1
15,2,0,0,0,253,68,1
15,1,0,0,0,238,56,0
40,3,0,0,0,198,41,1
43,2,0,1,0,213,56,1
143,5,1,0,0,213,37,0
41,5,1,0,0,219,54,1
12,3,1,0,0,211,64,1
19,5,1,0,0,214,48,1
20,1,1,0,0,190,63,1
15,0,0,0,0,199,44,0
11,1,0,0,0,209,48,0
19,3,1,0,0,242,32,1
17,2,1,0,0,196,60,0
44,3,0,1,0,195,56,0
11,1,0,0,0,171,63,0
14,2,1,0,0,215,48,1
20,3,0,0,0,219,53,0
11,6,1,1,0,259,52,1
97,3,1,0,0,153,32,0
18,2,1,1,0,235,76,1
19,4,0,0,0,226,44,1
16,1,0,0,0,224,41,0
33,2,0,0,0,199,48,1
16,3,0,0,0,180,42,1
19,6,1,0,0,212,52,1
14,1,0,0,0,207,41,0
16,0,0,1,0,252,48,1
18,4,1,1,0,185,72,0
21,3,0,0,0,175,36,1
18,4,0,0,0,207,36,1
17,3,1,0,0,240,60,0
12,1,0,0,0,202,57,1
15,3,1,1,0,212,44,0
13,5,1,0,0,225,60,1
18,1,0,0,0,203,44,0
17,1,0,0,0,213,46,0
16,0,1,0,0,195,49,0
13,4,1,0,0,238,46,1
13,0,0,0,0,166,49,0
19,2,0,0,0,200,41,0
18,5,1,1,1,243,52,1
51,11,0,0,0,249,63,1
14,4,1,0,0,213,47,0
16,2,0,0,0,260,56,0
51,2,1,0,0,215,50,0
37,0,0,0,0,185,48,1
16,6,1,0,0,200,50,1
37,4,0,0,0,231,49,0
12,4,0,0,0,211,56,0
16,2,0,0,0,221,53,1
14,4,0,1,0,209,52,0
41,4,1,0,0,201,55,1
15,1,0,0,0,220,48,1
18,0,0,1,0,245,44,1
16,14,0,1,0,241,58,1
15,4,0,0,0,266,55,1
35,6,1,0,0,224,52,0
38,3,0,0,0,189,55,1
146,1,0,0,0,220,48,1
39,1,0,1,0,183,83,0
17,6,0,0,0,249,38,1
14,2,1,0,0,196,32,1
22,1,1,0,0,157,48,0
16,5,1,1,0,216,36,1
10,2,0,0,0,168,56,1
50,4,1,0,0,186,47,1
21,4,1,1,1,239,40,1
11,5,0,0,0,226,56,1
12,2,0,0,0,203,42,0
17,2,0,0,0,243,63,0
19,2,0,0,1,243,47,0
11,3,1,0,0,261,60,1
17,1,0,0,0,194,42,0
12,3,1,0,0,247,53,1
16,2,1,0,0,225,54,1
16,2,1,1,0,224,57,1
12,0,1,0,0,185,48,1
16,15,1,1,0,222,39,0
11,1,0,0,0,236,53,1
16,6,0,0,0,207,52,1
17,2,0,0,0,204,51,0
30,4,1,0,0,211,48,1
15,3,1,1,0,227,56,1
13,2,0,0,0,232,60,0
14,2,0,1,0,211,60,1
13,3,0,0,0,198,40,0
14,2,0,0,0,252,42,1
16,1,1,0,0,196,49,0
17,3,1,0,0,217,51,1
19,3,0,0,0,211,40,1
38,3,0,0,0,226,48,1
14,1,0,0,0,235,64,1
15,1,0,0,0,222,40,1
15,2,1,0,0,214,52,1
18,1,1,0,0,173,57,1
16,1,0,1,0,247,59,1
15,3,0,0,0,172,42,0
14,2,1,0,0,216,48,1
15,3,0,0,0,213,49,0
11,4,0,0,0,208,60,0
15,4,1,0,0,214,45,0
12,4,0,0,0,201,45,1
20,6,0,0,0,218,64,1
31,5,0,0,0,240,56,0
88,3,0,0,0,232,36,0
16,4,1,0,0,249,55,1
15,2,0,1,0,197,48,1
17,1,1,0,0,225,59,1
15,5,1,1,0,223,64,1
15,5,0,1,1,232,57,0
16,2,1,1,0,165,64,1
17,1,1,0,1,255,55,1
15,2,0,0,0,229,56,0
22,5,0,0,0,232,35,1
15,3,0,0,0,236,47,0
62,2,1,1,0,231,44,1
21,4,0,1,0,247,50,0
91,2,1,0,0,187,47,1
39,5,0,1,1,217,55,0
12,2,1,1,0,252,64,1
16,3,0,0,0,242,60,0
19,4,0,0,0,234,46,1
28,7,0,0,0,177,43,1
16,1,0,0,0,182,32,0
19,3,0,0,0,245,40,0
14,2,0,0,0,184,52,0
16,3,0,0,0,202,56,0
17,4,1,0,0,195,49,1
18,5,1,0,0,202,57,0
13,1,0,0,0,184,61,0
14,3,0,0,0,203,45,0
19,4,1,0,0,212,32,1
14,0,1,1,0,264,57,1
15,5,0,0,0,191,48,1
13,4,1,0,0,252,52,0
16,8,1,0,0,174,43,1
94,3,0,0,0,184,44,0
17,3,0,0,0,205,59,0
15,2,1,1,0,225,63,1
15,1,1,1,0,220,54,1
88,4,0,0,0,243,44,1
17,3,0,0,0,196,47,0
15,0,0,0,0,229,44,1
15,3,0,0,0,212,60,1
34,2,0,0,0,247,52,0
12,1,0,0,0,208,36,0
51,4,1,0,0,188,64,1
18,2,0,1,0,186,50,1
22,3,0,1,0,206,36,0
15,1,0,0,0,201,40,0
15,3,1,0,0,197,48,0
68,2,0,0,0,209,48,1
16,7,1,0,0,199,48,0
81,0,0,0,0,215,39,0
17,6,1,1,0,203,48,0
15,0,0,1,0,214,67,1
16,1,0,0,0,211,50,0
15,1,0,1,2,232,57,1
9,1,0,0,0,190,54,0
16,2,1,1,1,233,56,1
20,2,1,1,0,265,67,0
16,2,0,0,0,214,67,0
17,2,1,0,0,227,49,1
44,3,1,0,0,192,60,1
14,5,1,0,0,257,54,1
13,0,0,0,0,216,44,0
85,3,0,0,0,219,51,0
21,3,1,0,0,221,40,1
13,2,0,1,0,230,36,1
15,0,1,1,0,227,61,1
18,2,0,0,0,220,42,0
23,3,0,0,0,224,76,1
13,4,0,1,0,182,40,0
18,1,0,0,0,225,40,1
15,1,0,0,0,204,55,1
20,0,0,0,0,181,56,1
13,3,1,0,0,202,44,1
16,3,0,0,0,210,58,0
72,1,0,0,0,196,38,0
60,1,0,0,0,228,53,0
26,3,0,0,0,230,67,1
16,0,0,0,0,241,42,0
14,1,1,0,0,203,66,1
14,2,0,1,0,240,57,1
37,4,0,0,0,227,46,0
14,2,0,0,0,197,50,0
13,7,0,1,0,172,41,0
21,4,0,0,0,193,50,1
13,5,0,0,0,218,39,0
13,1,0,0,0,166,45,0
14,0,1,0,0,225,77,1
18,3,1,1,0,237,56,1
20,2,0,0,0,187,42,1
15,1,0,1,1,244,53,1
16,3,0,0,0,235,47,0
21,3,0,0,0,201,59,1
88,4,1,0,0,246,48,1
14,4,1,1,0,220,70,1
13,0,0,0,0,209,50,0
11,2,1,1,0,236,52,0
14,1,0,0,0,199,50,0
17,2,0,0,0,229,32,0
13,2,0,1,0,227,67,0
18,8,0,0,0,232,37,0
11,4,0,0,1,236,44,1
20,1,1,0,0,228,37,1
16,3,1,1,0,202,46,1
17,2,0,0,0,218,52,0
16,3,0,0,0,233,53,1
16,1,0,0,0,180,44,0
14,0,1,0,0,190,35,0
13,2,0,0,0,279,58,1
18,1,1,0,0,235,56,0
16,2,1,0,0,229,57,0
15,7,0,0,0,233,60,0
14,3,0,0,0,211,52,0
14,3,0,0,0,180,51,0
37,3,0,0,0,202,43,0
13,1,0,0,0,219,48,0
18,2,1,0,0,244,49,1
25,4,0,0,0,189,60,1
17,3,1,0,0,199,40,1
18,2,0,0,0,193,49,1
20,5,1,0,0,224,51,1
10,0,1,0,0,237,65,1
19,1,1,0,0,195,52,1
16,11,1,0,0,228,48,0
17,5,1,1,0,228,40,1
14,1,0,0,0,208,77,1
43,4,1,1,0,240,53,1
17,7,1,0,0,224,41,0
15,2,1,1,0,256,61,1
13,7,0,1,0,192,48,0
17,4,1,0,0,222,59,0
24,7,0,1,1,188,36,0
16,2,1,0,0,255,58,0
12,2,0,0,0,197,63,0
18,3,0,0,0,231,39,1
14,1,0,1,1,231,42,0
26,1,0,0,0,253,64,0
13,4,0,0,0,232,36,0
13,2,1,0,0,210,54,0
18,2,0,1,0,250,48,1
17,3,0,1,0,193,68,0
15,2,0,0,0,198,49,0
16,2,1,0,0,251,64,0
12,3,1,0,0,220,55,0
17,3,1,0,0,238,46,1
9,0,1,0,0,231,61,0
12,5,0,0,0,238,58,0
16,0,0,0,0,205,44,0
17,3,0,0,0,169,52,0
20,4,0,0,0,212,43,0
24,3,0,0,0,259,52,1
12,3,0,0,0,198,48,0
34,5,0,0,0,230,60,1
13,5,0,1,0,216,56,1
20,4,0,0,0,198,40,1
14,0,0,0,0,187,50,0
15,3,0,0,0,197,40,0
23,5,0,0,0,221,49,0
11,3,0,1,0,214,51,0
17,2,1,0,0,222,80,0
16,6,1,0,0,225,60,1
24,2,1,0,0,184,43,1
15,4,0,0,0,229,48,0
20,5,1,1,0,262,52,1
18,3,1,1,2,248,48,1
13,2,0,0,0,225,46,0
18,7,0,0,0,206,42,1
15,4,1,0,0,216,60,0
15,3,0,0,0,217,35,1
15,1,0,1,0,189,46,0
21,3,0,0,0,245,53,1
14,5,0,0,0,223,56,1
14,4,0,1,0,226,50,0
15,3,0,0,0,254,63,1
23,6,0,0,0,220,61,1
16,2,1,1,0,188,59,0
13,0,1,0,0,191,44,0
21,4,1,0,0,208,47,0
19,5,0,0,0,225,60,1
19,2,0,1,0,211,40,0
18,4,1,0,0,214,43,0
63,6,0,0,0,238,52,0
21,3,1,0,0,247,39,1
17,0,1,0,0,250,55,0
16,3,1,1,0,222,48,1
14,4,0,0,0,232,52,0
20,3,1,0,0,211,48,0
14,4,0,0,0,250,40,1
15,3,1,0,0,231,56,1
14,3,1,0,0,247,60,0
17,1,0,0,0,233,59,0
87,3,1,1,0,212,56,0
16,4,0,0,0,204,49,1
19,2,0,0,0,226,44,1
19,3,0,1,0,186,49,0
15,1,0,0,0,199,36,1
25,3,1,0,0,233,43,1
17,5,0,0,0,243,49,1
17,4,1,0,0,230,28,1
18,5,0,0,0,226,43,0
16,3,1,0,0,212,40,0
15,18,0,0,0,215,41,0
16,1,0,0,0,244,56,1
18,2,0,0,0,201,41,0
19,2,0,1,0,229,46,1
20,4,1,0,0,215,52,0
17,2,1,0,0,218,37,0
40,3,0,0,0,171,52,0
23,1,0,0,0,234,52,1
15,1,0,0,0,226,52,0
55,4,1,0,0,180,39,0
13,0,1,0,0,206,56,0
14,9,0,1,0,232,39,1
12,2,0,0,0,178,36,0
20,1,0,0,0,228,44,1
14,2,0,0,0,229,72,1
17,2,0,0,0,228,52,1
18,2,0,0,0,201,41,0
18,1,0,1,0,244,56,1
16,2,0,1,0,150,47,1
16,2,0,0,0,230,55,1
16,4,0,0,0,246,64,0
16,3,1,0,0,259,64,1
12,1,1,0,0,231,53,1
16,2,1,0,0,213,55,0
17,1,0,0,0,208,44,0
39,3,1,0,0,221,53,0
37,8,0,1,0,256,76,0
25,7,0,0,0,183,34,0
16,5,0,0,1,239,52,1
19,2,0,1,0,233,58,1
23,4,1,0,0,223,54,0
19,2,0,0,0,233,43,1
19,3,1,1,1,244,56,1
16,3,1,0,0,201,35,0
18,5,0,1,0,211,64,0
12,0,0,1,1,198,48,0
15,3,0,0,0,218,39,0
23,3,1,0,0,217,43,1
27,2,0,0,0,177,44,0
18,4,1,1,0,226,57,0
16,2,1,0,1,254,51,1
13,1,1,0,1,220,32,1
19,2,0,0,0,199,45,1
15,4,1,0,0,233,56,1
26,2,1,0,0,197,50,1
13,1,1,1,0,220,52,0
16,3,1,0,0,238,52,0
17,2,0,0,0,183,38,0
16,2,0,0,0,240,48,1
19,1,0,0,0,229,64,0
23,1,1,1,0,224,60,1
16,1,1,0,0,258,48,1
17,4,1,0,0,219,54,1
52,4,1,0,0,190,53,0
15,5,1,0,0,209,48,0
14,1,1,1,0,218,71,1
19,5,0,0,0,251,63,1
16,2,0,0,0,202,52,1
19,13,0,1,0,212,40,0
14,1,0,0,0,215,56,1
17,5,0,1,0,235,56,0
15,1,1,0,0,238,56,1
18,3,1,0,1,219,55,0
13,6,1,0,0,193,35,1
30,0,0,0,0,219,56,0
20,3,0,0,0,170,37,0
17,1,0,0,0,210,58,0
43,2,1,0,0,179,47,0
12,3,0,0,0,211,56,0
15,2,0,0,0,254,45,1
18,1,0,0,0,189,40,0
17,6,0,1,0,244,43,1
16,1,0,0,0,224,41,0
14,4,1,0,0,211,58,0
16,5,0,0,0,246,44,0
15,3,0,0,0,169,41,0
16,2,1,0,0,217,68,1
65,4,0,0,0,221,67,0
11,3,0,0,0,251,52,1
21,3,1,1,0,205,44,1
12,2,0,0,0,236,54,0
21,2,1,0,0,227,76,1
15,1,0,1,0,225,56,0
15,2,0,0,0,232,51,0
13,4,0,0,0,238,40,0
14,4,1,0,0,255,44,1
21,3,1,0,0,236,44,1
18,1,0,0,0,229,52,0
17,1,1,0,0,188,42,0
16,1,0,1,0,213,38,1
18,4,0,0,0,191,48,0
15,1,0,0,0,202,53,0
13,0,1,1,0,247,50,1
13,3,1,0,0,175,49,0
14,4,0,0,0,218,47,0
18,2,0,1,0,215,52,0
15,5,1,0,0,247,45,1
15,5,0,0,0,209,63,0
39,3,1,0,0,256,52,1
14,3,1,0,0,197,40,0
16,2,1,1,1,227,67,1
18,1,0,1,0,238,48,0
37,2,0,1,0,225,48,0
16,3,0,0,0,193,47,1
18,1,1,0,0,229,49,1
14,4,1,0,0,163,56,1
18,1,0,0,0,207,44,0
18,2,1,1,0,241,44,0
15,3,1,0,0,217,76,1
14,1,0,0,0,251,68,0
40,2,0,0,0,224,70,0
27,0,0,0,0,189,60,1
18,2,0,0,0,193,52,0
14,0,1,1,0,211,56,1
17,4,0,0,0,221,47,0
39,3,0,0,0,231,35,1
18,0,1,0,0,217,64,0
16,1,0,0,0,153,78,0
16,1,1,0,0,234,48,1
14,5,1,0,0,227,44,1
17,1,1,0,0,233,47,1
16,6,0,0,0,224,44,0
18,3,1,0,0,240,50,1
48,3,0,0,0,205,36,0
16,3,1,0,0,232,24,0
26,3,1,0,0,211,60,0
14,1,0,0,0,182,48,0
19,5,0,0,0,199,49,1
